,price,volume,std,sec,min_start,max_start,end,sl,mid,down,prev_end,next_sl,implied_prob
8,20.687979797979796,30445.5,0.016179669944091396,SVU2,20.634462498226917,20.639191919191916,20.6810101010101,20.585923488394645,20.618282828282826,20.57181818181818,,20.655620458091615,0.5353405586192721
9,20.769292929292927,28134.0,0.016179669944091396,SVU2,20.704159467923887,20.712373737373735,20.761161616161615,20.655620458091615,20.687979797979796,20.618282828282826,20.6810101010101,20.736933589404746,0.49882098623818294
10,20.931919191919192,4336.0,0.016179669944091396,SVU2,20.785472599237018,20.818080808080808,20.915656565656565,20.736933589404746,20.769292929292927,20.687979797979796,20.761161616161615,20.89939393939394,0.36281353194791965
11,20.99,0.0,0.016179669944091396,SVU2,20.948098861863283,20.949343434343433,20.984191919191918,20.89939393939394,20.931919191919192,20.769292929292927,20.915656565656565,,0.5817026399324249
0,209100.0,0.0,137.4124603478078,MXU2,,,,,,,,167280.0,
1,210241.41414141413,4440.5,137.4124603478078,MXU2,209237.4124603478,209442.42424242425,210127.2727272727,167280.0,209100.0,0,,,0.9816241658856968
2,210697.9797979798,5022.0,137.4124603478078,MXU2,,,,,210241.41414141413,209100.0,210127.2727272727,210423.15487728416,
3,212410.101010101,11205.0,137.4124603478078,MXU2,210835.3922583276,211211.61616161614,212238.88888888888,210423.15487728416,210697.9797979798,210241.41414141413,,212067.67676767675,0.33063726782158426
4,215491.91919191918,22949.0,137.4124603478078,MXU2,212547.51347044882,213334.64646464644,215183.73737373736,212067.67676767675,212410.101010101,210697.9797979798,212238.88888888888,214875.55555555553,0.28029082559310114
5,216290.9090909091,21949.0,137.4124603478078,MXU2,215629.331652267,215731.61616161614,216211.0101010101,214875.55555555553,215491.91919191918,212410.101010101,215183.73737373736,216016.08417021346,0.602729875101857
6,217089.898989899,25258.0,137.4124603478078,MXU2,216428.3215512569,216530.60606060605,217010.0,216016.08417021346,216290.9090909091,215491.91919191918,216211.0101010101,216815.07406920337,0.46621617427859174
7,219829.29292929292,4274.0,137.4124603478078,MXU2,217227.3114502468,217911.71717171717,219555.35353535353,216815.07406920337,217089.898989899,216290.9090909091,217010.0,219281.41414141413,0.27531507318796916
8,220400.0,0.0,137.4124603478078,MXU2,219966.70538964073,220000.50505050505,220342.9292929293,219281.41414141413,219829.29292929292,217089.898989899,219555.35353535353,,0.6614988751281484
0,0.5945,0.0,0.00043360251695837726,RSTI,,,,,,,,,
1,0.595839393939394,250959.0,0.00043360251695837726,RSTI,,,,,0.5945,0,,,
2,0.5969727272727273,175211.0,0.00043360251695837726,RSTI,,,,,0.595839393939394,0.5945,,0.5961055222388105,
3,0.6000636363636364,628004.0,0.00043360251695837726,RSTI,0.5974063297896857,0.5979,0.5997545454545454,0.5961055222388105,0.5969727272727273,0.595839393939394,,0.5991964313297196,0.42412518762796203
4,0.6040818181818182,183312.0,0.00043360251695837726,RSTI,0.6004972388805947,0.6012690909090909,0.60368,0.5991964313297196,0.6000636363636364,0.5969727272727273,0.5997545454545454,,0.37620335254454024
0,838.5,0.0,2.9116892316322556,LENT,,,,,,,,670.8000000000001,
1,868.3636363636364,38563.0,2.9116892316322556,LENT,841.4116892316323,847.459090909091,865.3772727272727,670.8000000000001,838.5,0,,862.3909090909091,0.8923724114158792
2,892.6969696969697,326549.5,2.9116892316322556,LENT,871.2753255952687,875.6636363636364,890.2636363636364,862.3909090909091,868.3636363636364,838.5,865.3772727272727,,0.39746996338544766
3,900.439393939394,194743.5,2.9116892316322556,LENT,,,,,892.6969696969697,868.3636363636364,890.2636363636364,894.6160154761295,
4,930.3030303030303,100198.0,2.9116892316322556,LENT,903.3510831710263,909.3984848484848,927.3166666666666,894.6160154761295,900.439393939394,892.6969696969697,,924.330303030303,0.35958820713114087
5,948.0,0.0,2.9116892316322556,LENT,933.2147195346625,935.6121212121212,946.230303030303,924.330303030303,930.3030303030303,900.439393939394,927.3166666666666,,0.46041631703602226
0,331.0,0.0,0.2536955466872138,ROSN,,,,,,,,264.8,
1,333.9621212121212,3237131.0,0.2536955466872138,ROSN,331.2536955466872,331.88863636363635,333.66590909090905,264.8,331.0,0,,,0.9695822916824918
2,334.55454545454546,3256904.5,0.2536955466872138,ROSN,,,,,333.9621212121212,331.0,333.66590909090905,334.047154361171,
3,336.13434343434346,2322307.0,0.2536955466872138,ROSN,334.80824100123266,335.0284848484849,335.97636363636366,334.047154361171,334.55454545454546,333.9621212121212,,335.626952340969,0.45158841754002554
4,337.91161616161617,1674167.0,0.2536955466872138,ROSN,336.38803898103066,336.66752525252525,337.7338888888889,335.626952340969,336.13434343434346,334.55454545454546,335.97636363636366,337.4042250682417,0.4275542975882876
5,339.2939393939394,1702773.0,0.2536955466872138,ROSN,338.16531170830336,338.32631313131316,339.1557070707071,337.4042250682417,337.91161616161617,336.13434343434346,337.7338888888889,338.78654830056496,0.4805001423833854
6,340.28131313131314,1603480.0,0.2536955466872138,ROSN,339.5476349406266,339.59015151515155,340.18257575757576,338.78654830056496,339.2939393939394,337.91161616161617,339.1557070707071,339.7739220379387,0.5604079800832056
7,343.04595959595963,4102021.0,0.2536955466872138,ROSN,340.53500867800034,341.11070707070706,342.76949494949497,339.7739220379387,340.28131313131314,339.2939393939394,340.18257575757576,342.4930303030303,0.3501620115365718
8,344.82323232323233,4875902.0,0.2536955466872138,ROSN,343.2996551426468,343.5791414141414,344.64550505050505,342.4930303030303,343.04595959595963,340.28131313131314,342.76949494949497,344.3158412298579,0.43966507689537804
9,346.0080808080808,5103152.0,0.2536955466872138,ROSN,345.07692786991953,345.1786868686869,345.88959595959597,344.3158412298579,344.82323232323233,343.04595959595963,344.64550505050505,345.50068971470637,0.515941985178652
10,350.55,0.0,0.2536955466872138,ROSN,346.261776354768,347.3706565656566,350.09580808080807,345.50068971470637,346.0080808080808,344.82323232323233,345.88959595959597,,0.28628789090845524
0,18.220707070707068,72346.0,0.07471164151017533,SVET,,,,,,,,,
1,18.404545454545453,1264740.5,0.07471164151017533,SVET,,,,,18.220707070707068,0,,18.2551221715251,
2,18.715656565656566,2683748.5,0.07471164151017533,SVET,18.479257096055626,18.497878787878786,18.684545454545454,18.2551221715251,18.404545454545453,18.220707070707068,,18.566233282636215,0.5436262533325164
3,19.196464646464648,1054752.0,0.07471164151017533,SVET,18.79036820716674,18.85989898989899,19.14838383838384,18.566233282636215,18.715656565656566,18.404545454545453,18.684545454545454,19.047041363444297,0.4447308575771404
4,19.465151515151515,606059.0,0.07471164151017533,SVET,19.27117628797482,19.277070707070706,19.43828282828283,19.047041363444297,19.196464646464648,18.715656565656566,19.14838383838384,,0.5804142824487848
0,12362.0,0.0,8.370727319170852,SRU2,,,,,,,,9889.6,
1,12512.949494949495,335088.5,8.370727319170852,SRU2,12370.37072731917,12407.28484848485,12497.854545454546,9889.6,12362.0,0,,12482.759595959596,0.9581993414935138
2,12588.424242424242,478370.0,8.370727319170852,SRU2,12521.320222268665,12535.591919191918,12580.876767676767,12482.759595959596,12512.949494949495,12362.0,12497.854545454546,12571.6827877859,0.4657337137929149
3,12630.878787878788,403231.5,8.370727319170852,SRU2,12596.794969743412,12601.160606060606,12626.633333333333,12571.6827877859,12588.424242424242,12512.949494949495,12580.876767676767,12614.137333240446,0.49671936546196055
4,12701.636363636364,287048.0,8.370727319170852,SRU2,12639.249515197958,12652.10606060606,12694.560606060606,12614.137333240446,12630.878787878788,12588.424242424242,12626.633333333333,12684.894908998021,0.3921806904338791
5,12729.939393939394,300836.0,8.370727319170852,SRU2,12710.007090955534,12710.127272727274,12727.10909090909,12684.894908998021,12701.636363636364,12630.878787878788,12694.560606060606,12713.197939301052,0.5962989617188982
6,12829.0,0.0,8.370727319170852,SRU2,12738.310121258564,12759.657575757576,12819.093939393939,12713.197939301052,12729.939393939394,12701.636363636364,12727.10909090909,,0.33793447510413716
0,3969.0,0.0,11.075093448237238,MLU2,,,,,,,,,
1,3992.151515151515,6132.5,11.075093448237238,MLU2,,,,,3969.0,0,,3970.0013282550403,
2,4038.4545454545455,2456.0,11.075093448237238,MLU2,4003.226608599752,4006.042424242424,4033.8242424242426,3970.0013282550403,3992.151515151515,3969.0,,4016.304358558071,0.5426450455432172
3,4161.929292929293,49342.5,11.075093448237238,MLU2,4049.5296389027826,4075.4969696969697,4149.581818181819,4016.304358558071,4038.4545454545455,3992.151515151515,4033.8242424242426,4137.234343434344,0.3467123838663824
4,4246.818181818182,35790.0,11.075093448237238,MLU2,4173.004386377531,4187.3959595959595,4238.329292929293,4137.234343434344,4161.929292929293,4038.4545454545455,4149.581818181819,4224.667994921708,0.42500470861353984
5,4335.565656565656,5467.0,11.075093448237238,MLU2,4257.89327526642,4273.442424242425,4326.6909090909085,4224.667994921708,4246.818181818182,4161.929292929293,4238.329292929293,,0.4018690817311629
0,25236.0,0.0,65.74502642285984,MGU2,,,,,,,,20188.800000000003,
1,25512.666666666668,1181.0,65.74502642285984,MGU2,25301.74502642286,25319.0,25485.0,20188.800000000003,25236.0,0,,25381.17661382095,0.9670277771253787
2,26040.848484848484,1031.5,65.74502642285984,MGU2,25578.41169308953,25671.121212121212,25988.030303030304,25381.17661382095,25512.666666666668,25236.0,25485.0,25909.358432002766,0.40139796975080505
3,26493.575757575756,6231.0,65.74502642285984,MGU2,26106.593511271345,26176.666666666664,26448.30303030303,25909.358432002766,26040.848484848484,25512.666666666668,25988.030303030304,26362.085704730038,0.4309750161682323
4,26820.545454545456,3553.0,65.74502642285984,MGU2,26559.320783998617,26591.666666666664,26787.848484848488,26362.085704730038,26493.575757575756,26040.848484848484,26448.30303030303,26689.055401699738,0.5012369107117189
5,27072.060606060608,3988.0,65.74502642285984,MGU2,26886.290480968317,26896.0,27046.909090909092,26689.055401699738,26820.545454545456,26493.575757575756,26787.848484848488,,0.5647275545235267
6,27273.272727272728,4978.0,65.74502642285984,MGU2,,,,,27072.060606060608,26820.545454545456,27046.909090909092,27141.78267442701,
7,27726.0,0.0,65.74502642285984,MGU2,27339.01775369559,27409.090909090908,27680.727272727272,27141.78267442701,27273.272727272728,27072.060606060608,,,0.430975016168239
0,39060.0,0.0,35.70055477658416,LKU2,,,,,,,,31248.0,
1,39506.454545454544,21825.5,35.70055477658416,LKU2,39095.70055477659,39193.93636363636,39461.80909090909,31248.0,39060.0,0,,39417.163636363635,0.9614075968659351
2,39754.48484848485,15799.5,35.70055477658416,LKU2,39542.15510023113,39580.86363636363,39729.681818181816,39417.163636363635,39506.454545454544,39060.0,39461.80909090909,39683.08373893168,0.46187946920069195
3,39903.30303030303,22991.5,35.70055477658416,LKU2,39790.185403261436,39799.1303030303,39888.42121212121,39683.08373893168,39754.48484848485,39506.454545454544,39729.681818181816,39831.901920749864,0.543369471149573
